lat,lng,total,white,black,native,asian,pi,other,multiple,hispanic
47.7223882,-122.3670316,37,32,0,0,3,0,0,0,2
47.7223948,-122.3683716,37,32,0,0,3,0,0,2,0
47.7224026,-122.3697128,42,39,0,0,1,0,0,2,0
47.7241713,-122.3616251,40,29,0,0,11,0,0,0,0
47.7241777,-122.3629751,42,31,2,0,7,0,0,0,2
47.7232778,-122.3643292,85,70,2,0,10,0,0,3,0
47.7241896,-122.3656757,38,34,0,0,4,0,0,0,0
47.7223787,-122.3656854,47,47,0,0,0,0,0,0,0
47.7205684,-122.3656951,31,25,0,0,3,0,0,2,1
47.7205605,-122.3643413,50,37,0,1,11,0,0,0,1
47.7205525,-122.3629874,52,37,7,0,5,0,0,1,2
47.7223648,-122.3629813,43,42,0,0,1,0,0,0,0
47.7223582,-122.3616294,47,38,1,0,6,0,0,0,2
47.7205468,-122.3619717,19,17,0,0,0,0,0,2,0
47.7205419,-122.3612965,24,21,0,0,1,0,0,2,0
47.7187288,-122.3616238,57,42,7,1,5,0,1,0,1
47.7187369,-122.3629766,49,46,0,0,2,0,0,1,0
47.7187449,-122.3643295,42,33,0,0,2,0,0,0,7
47.7187618,-122.3656825,42,38,2,0,0,0,0,1,1
47.7169403,-122.3656467,42,31,0,0,10,0,0,0,1
47.717016,-122.3643265,53,43,1,0,4,0,0,3,2
47.717022,-122.3629339,37,37,0,0,0,0,0,0,0
47.7169226,-122.3615942,37,35,0,0,1,0,0,0,1
47.7205763,-122.3670429,48,32,7,0,3,0,0,6,0
47.7205847,-122.3683848,48,38,1,0,4,0,2,3,0
47.7205923,-122.3697275,39,35,0,0,3,0,0,0,1
47.7206025,-122.3710718,42,40,0,0,1,0,0,0,1
47.7187848,-122.3710478,42,34,0,0,4,0,0,3,1
47.7187784,-122.3700074,20,18,0,0,2,0,0,0,0
47.7187714,-122.3686671,58,53,0,0,0,0,0,0,5
47.7187618,-122.3670285,37,33,0,0,4,0,0,0,0
47.7169389,-122.3669864,48,37,1,0,2,0,0,8,0
47.7169483,-122.3689836,83,72,0,0,7,0,0,2,2
47.7168102,-122.3709682,52,49,0,0,3,0,0,0,0
47.7150606,-122.3693386,49,47,0,0,1,0,0,1,0
47.7154103,-122.3671829,30,30,0,0,0,0,0,0,0
47.7147776,-122.3644043,77,65,0,0,5,0,0,2,5
47.7151045,-122.36158,37,29,0,0,2,0,0,1,5
47.7116582,-122.3631214,280,243,1,2,20,0,0,12,2
47.7122334,-122.3671515,27,19,2,0,2,0,1,3,0
47.7143508,-122.366964,21,20,0,0,0,0,0,0,1
47.709064,-122.3616339,14,11,0,0,3,0,0,0,0
47.7277602,-122.3348864,81,48,1,0,21,0,0,10,1
47.7277607,-122.3362409,64,36,0,1,10,0,11,6,0
47.7277614,-122.3375932,55,44,0,1,5,0,0,2,3
47.7277625,-122.3389451,64,41,0,0,14,0,0,6,3
47.726805,-122.3417393,113,62,4,0,39,0,0,7,1
47.7274898,-122.3331097,87,59,4,0,21,0,0,2,1
47.7270063,-122.3311423,10,10,0,0,0,0,0,0,0
47.7258255,-122.330311,146,84,5,5,26,0,0,14,12
47.725915,-122.3321573,45,37,0,0,5,0,0,0,3
47.7263165,-122.3334856,31,22,0,0,2,0,0,2,5
47.7250301,-122.3368938,56,32,5,0,12,0,0,5,2
47.7254002,-122.3334822,19,15,0,0,3,0,0,1,0
47.7241067,-122.3328686,85,52,0,0,16,0,5,7,5
47.7240853,-122.3302281,77,52,0,7,7,0,0,5,6
47.7240569,-122.3275738,81,55,0,0,16,0,0,3,7
47.7253528,-122.3280936,27,24,0,0,1,0,0,1,1
47.7237374,-122.3254849,36,13,2,3,10,0,0,4,4
47.7226567,-122.3408841,17,14,0,0,0,0,0,0,3
47.7236867,-122.340927,14,7,0,0,4,0,0,2,1
47.7225907,-122.3315631,133,85,6,0,34,0,0,4,4
47.7226128,-122.3368719,166,90,6,1,36,0,0,10,23
47.7166988,-122.3132708,131,92,8,7,10,0,0,4,10
47.7167074,-122.3146366,34,28,0,0,0,0,0,0,6
47.7158139,-122.3166563,417,224,46,2,91,0,3,18,33
47.7131005,-122.316577,118,59,0,0,53,0,0,0,6
47.7148985,-122.3139048,179,90,30,3,27,0,1,5,23
47.71283,-122.3133857,293,198,16,0,19,2,1,14,43
47.7211677,-122.3296353,57,36,1,1,18,0,0,0,1
47.719552,-122.331415,174,143,4,0,11,0,0,6,10
47.7214615,-122.3336225,29,29,0,0,0,0,0,0,0
47.7214563,-122.3347934,23,18,0,0,0,0,0,1,4
47.7212451,-122.3364074,36,24,0,0,7,1,0,4,0
47.7208826,-122.3401078,50,41,4,0,4,0,0,0,1
47.7170419,-122.3421527,423,220,4,7,23,2,1,14,152
47.715022,-122.3407612,30,29,0,0,1,0,0,0,0
47.7158863,-122.3404394,27,24,0,0,3,0,0,0,0
47.7166383,-122.3402506,22,16,0,0,2,0,2,0,2
47.7193646,-122.3378314,19,12,1,0,5,0,0,1,0
47.7188366,-122.3362884,153,107,0,0,26,0,2,12,6
47.7177248,-122.3348658,36,27,0,0,7,0,0,0,2
47.7128089,-122.3434721,288,173,31,1,36,2,0,14,31
47.7179025,-122.3295948,48,40,0,0,7,0,0,1,0
47.7165057,-122.3314786,129,90,0,1,26,0,0,8,4
47.7165256,-122.3348348,34,32,0,0,0,0,0,1,1
47.7165183,-122.3375095,92,55,0,0,20,0,0,10,7
47.7149904,-122.3301127,23,22,0,0,0,0,0,1,0
47.7150061,-122.3327716,82,52,5,2,18,0,0,4,1
47.7142485,-122.3351203,67,53,2,0,7,0,0,0,5
47.7131886,-122.332739,91,64,12,0,15,0,0,0,0
47.7131613,-122.3300487,106,70,4,2,17,0,0,9,4
47.7098527,-122.3395012,214,129,17,0,40,0,0,15,13
47.7077672,-122.3400232,44,23,3,0,13,0,1,0,4
47.7077108,-122.3413697,101,72,1,1,10,0,0,6,11
47.7136248,-122.3406013,251,70,140,2,15,0,2,9,13
47.7129903,-122.3381392,1,0,0,0,1,0,0,0,0
47.7075533,-122.33478,309,86,13,2,169,1,1,19,18
47.7207926,-122.3266625,111,84,2,1,13,0,0,3,8
47.7167956,-122.3244782,46,26,1,0,5,6,0,7,1
47.7191045,-122.3222187,19,12,0,0,4,0,0,0,3
47.7181979,-122.3221896,54,34,0,0,5,0,0,11,4
47.7167551,-122.3221481,111,81,1,1,21,0,0,2,5
47.7134271,-122.3282143,12,7,0,0,0,0,0,5,0
47.7155777,-122.3269845,56,31,6,0,12,0,0,2,5
47.7167854,-122.3268321,51,30,3,0,10,0,0,1,7
47.7180065,-122.3277696,142,114,3,2,17,0,0,6,0
47.7148446,-122.3245243,76,38,1,1,25,0,0,1,10
47.7130518,-122.3266601,20,15,0,1,3,0,0,1,0
47.7131524,-122.3254357,43,40,0,0,2,0,0,0,1
47.7131377,-122.3241025,62,30,6,0,16,0,1,0,9
47.7185291,-122.3133225,117,50,21,0,20,0,0,8,18
47.7185183,-122.3150691,130,74,13,0,23,0,0,6,14
47.7185543,-122.3171365,271,127,31,1,80,6,0,22,4
47.7185507,-122.319472,257,121,31,3,62,0,1,13,26
47.716738,-122.3194164,115,64,3,0,26,0,0,9,13
47.7149248,-122.3200296,49,40,0,0,7,0,0,1,1
47.7149419,-122.3220947,114,65,6,0,33,0,0,5,5
47.7131287,-122.3220412,87,65,11,0,10,0,0,1,0
47.7131176,-122.3199872,51,38,0,0,1,0,0,3,9
47.713107,-122.3186195,47,33,2,0,7,0,0,4,1
47.7149256,-122.318663,47,33,3,0,8,0,0,3,0
47.7183522,-122.291927,214,116,23,1,22,0,0,11,41
47.7183056,-122.2933506,217,89,37,5,17,5,0,13,51
47.7183486,-122.2945679,167,97,11,3,41,1,3,7,4
47.7186923,-122.295958,2,0,0,1,0,0,0,1,0
47.718339,-122.2971176,322,141,39,4,87,1,0,16,34
47.7164866,-122.2948928,129,49,31,0,20,0,1,8,20
47.7164444,-122.2942951,111,50,18,3,15,0,0,6,19
47.7164461,-122.2934197,172,83,18,2,20,2,0,18,29
47.7164292,-122.2921266,140,73,10,0,34,0,0,9,14
47.7166514,-122.2973929,88,43,9,1,20,0,0,8,7
47.7183922,-122.2991042,124,42,6,0,26,0,0,3,47
47.7188256,-122.3008374,52,28,6,1,11,2,0,1,3
47.7168827,-122.3005643,114,80,2,1,19,0,0,4,8
47.7168443,-122.2986487,125,73,7,2,16,3,0,4,20
47.7151011,-122.2987247,12,3,1,0,6,0,0,2,0
47.7147377,-122.2998692,15,11,0,0,1,0,0,0,3
47.7148561,-122.3010751,58,42,0,1,10,0,0,3,2
